date,amount,category,description
2024-05-26,55.9,Mobile,Mobile expense
2024-05-13,95.0,Transport,Transport expense
2024-05-22,178.38,Insurance - Health,Insurance - Health expense
2024-05-28,85.15,Insurance - House,Insurance - House expense
2024-05-22,24.16,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-06-27,1597.81,Room Rent,Room Rent expense
2024-06-08,395.15,Grocery,Grocery expense
2024-06-28,97.32,Utilities,Utilities expense
2024-06-28,73.16,Internet,Internet expense
2024-06-20,32.53,Mobile,Mobile expense
2024-06-20,95.81,Transport,Transport expense
2024-06-11,228.55,Insurance - Health,Insurance - Health expense
2024-06-13,94.43,Insurance - House,Insurance - House expense
2024-06-03,33.12,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-07-28,1599.67,Room Rent,Room Rent expense
2024-07-09,336.4,Grocery,Grocery expense
2024-07-09,83.83,Utilities,Utilities expense
2024-07-15,71.73,Internet,Internet expense
2024-07-27,43.5,Mobile,Mobile expense
2024-07-25,91.32,Transport,Transport expense
2024-07-25,194.58,Insurance - Health,Insurance - Health expense
2024-07-26,85.88,Insurance - House,Insurance - House expense
2024-07-10,32.09,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-08-23,1537.41,Room Rent,Room Rent expense
2024-08-22,362.92,Grocery,Grocery expense
2024-08-16,116.73,Utilities,Utilities expense
2024-08-06,59.69,Internet,Internet expense
2024-08-01,39.54,Mobile,Mobile expense
2024-08-20,113.47,Transport,Transport expense
2024-08-19,159.42,Insurance - Health,Insurance - Health expense
2024-08-10,91.4,Insurance - House,Insurance - House expense
2024-08-19,27.27,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-09-07,1535.46,Room Rent,Room Rent expense
2024-09-25,316.09,Grocery,Grocery expense
2024-09-03,118.94,Utilities,Utilities expense
2024-09-20,55.99,Internet,Internet expense
2024-09-21,37.28,Mobile,Mobile expense
2024-09-10,104.17,Transport,Transport expense
2024-09-19,202.75,Insurance - Health,Insurance - Health expense
2024-09-16,96.61,Insurance - House,Insurance - House expense
2024-09-09,33.48,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-10-05,1443.52,Room Rent,Room Rent expense
2024-10-25,341.12,Grocery,Grocery expense
2024-10-17,105.82,Utilities,Utilities expense
2024-10-27,58.11,Internet,Internet expense
2024-10-22,50.59,Mobile,Mobile expense
2024-10-23,114.94,Transport,Transport expense
2024-10-02,220.4,Insurance - Health,Insurance - Health expense
2024-10-09,78.06,Insurance - House,Insurance - House expense
2024-10-12,20.33,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-11-17,1496.91,Room Rent,Room Rent expense
2024-11-18,393.6,Grocery,Grocery expense
2024-11-09,105.88,Utilities,Utilities expense
2024-11-26,69.61,Internet,Internet expense
2024-11-19,47.62,Mobile,Mobile expense
2024-11-06,108.21,Transport,Transport expense
2024-11-16,216.63,Insurance - Health,Insurance - Health expense
2024-11-08,98.32,Insurance - House,Insurance - House expense
2024-11-21,38.33,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
2024-12-15,1408.75,Room Rent,Room Rent expense
2024-12-06,372.03,Grocery,Grocery expense
2024-12-01,92.22,Utilities,Utilities expense
2024-12-01,60.68,Internet,Internet expense
2024-12-27,58.53,Mobile,Mobile expense
2024-12-27,97.48,Transport,Transport expense
2024-12-19,192.37,Insurance - Health,Insurance - Health expense
2024-12-06,99.17,Insurance - House,Insurance - House expense
2024-12-25,27.71,House Expenses - Grass Cutting,House Expenses - Grass Cutting expense
